% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	1	1	0	0	85	0	1	0
32	2	1	1	0	0	85	0	1	1
33	1	1	1	0	0	85	0	1	0
33	2	1	1	0	0	85	0	1	1
34	1	1	1	0	0	85	0	1	0
34	2	1	1	0	0	85	0	1	1
35	1	1	1	0	0	85	0	1	0
35	2	1	1	0	0	85	0	1	1
36	1	1	1	0	0	85	0	1	0
36	2	1	1	0	0	85	0	1	1
37	1	1	1	0	0	85	0	1	0
37	2	1	1	0	0	85	0	1	1
38	1	1	1	0	0	85	0	1	0
38	2	1	1	0	0	85	0	1	1
39	1	1	1	0	0	85	0	1	0
39	2	1	1	0	0	85	0	1	1
40	1	1	1	0	0	85	0	1	0
40	2	1	1	0	0	85	0	1	1
41	1	1	1	0	0	85	0	1	0
41	2	1	1	0	0	85	0	1	1
42	1	1	1	0	0	85	0	1	0
42	2	1	1	0	0	85	0	1	1
43	1	1	1	0	0	85	0	1	0
43	2	1	1	0	0	85	0	1	1
44	1	1	1	0	0	85	0	1	0
44	2	1	1	0	0	85	0	1	1
45	1	1	1	0	0	85	0	1	0
45	2	1	1	0	0	85	0	1	1
46	1	1	1	0	0	85	0	1	0
46	2	1	1	0	0	85	0	1	1
47	1	1	1	0	14	807	0	1	0
47	2	1	1	0	14	807	0	1	1
48	1	1	1	0	14	807	0	1	0
48	2	1	1	0	14	807	0	1	1
49	1	1	1	0	14	807	0	1	0
49	2	1	1	0	14	807	0	1	1
50	1	1	1	0	14	807	0	1	0
50	2	1	1	0	14	807	0	1	1
51	1	1	1	0	14	807	0	1	0
51	2	1	1	0	14	807	0	1	1
52	1	1	1	0	14	807	0	1	0
52	2	1	1	0	14	807	0	1	1
53	1	1	1	0	14	807	0	1	0
53	2	1	1	0	14	807	0	1	1
54	1	1	1	0	14	807	0	1	0
54	2	1	1	0	14	807	0	1	1
55	1	1	1	0	14	807	0	1	0
55	2	1	1	0	14	807	0	1	1
56	1	1	1	0	14	807	0	1	0
56	2	1	1	0	14	807	0	1	1
57	1	1	1	0	14	807	0	1	0
57	2	1	1	0	14	807	0	1	1
58	1	1	1	0	14	807	0	1	0
58	2	1	1	0	14	807	0	1	1
59	1	1	1	0	14	807	0	1	0
59	2	1	1	0	14	807	0	1	1
60	1	1	1	0	14	807	0	1	0
60	2	1	1	0	14	807	0	1	1
61	1	1	1	0	14	807	0	1	0
61	2	1	1	0	14	807	0	1	1
62	1	1	1	0	14	807	0	1	0
62	2	1	1	0	14	807	0	1	1
63	1	1	1	0	14	807	0	1	0
63	2	1	1	0	14	807	0	1	1
64	1	1	1	0	14	807	0	1	0
64	2	1	1	0	14	807	0	1	1
65	1	1	1	0	14	807	0	1	0
65	2	1	1	0	14	807	0	1	1
66	1	1	1	0	14	807	0	1	0
66	2	1	1	0	14	807	0	1	1
67	1	1	1	0	14	807	0	1	0
67	2	1	1	0	14	807	0	1	1
68	1	1	1	0	14	807	0	1	0
68	2	1	1	0	14	807	0	1	1
69	1	1	1	0	14	807	0	1	0
69	2	1	1	0	14	807	0	1	1
70	1	1	1	0	14	807	0	1	0
70	2	1	1	0	14	807	0	1	1
71	1	1	1	0	14	807	0	1	0
71	2	1	1	0	14	807	0	1	1
72	1	1	1	0	14	807	0	1	0
72	2	1	1	0	14	807	0	1	1
73	1	1	1	0	14	807	0	1	0
73	2	1	1	0	14	807	0	1	1
74	1	1	1	0	14	807	0	1	0
74	2	1	1	0	14	807	0	1	1
75	1	1	1	0	14	807	0	1	0
75	2	1	1	0	14	807	0	1	1
76	1	1	1	0	14	807	0	1	0
76	2	1	1	0	14	807	0	1	1
77	1	1	1	0	14	807	0	1	0
77	2	1	1	0	14	807	0	1	1
78	1	1	1	0	14	807	0	1	0
78	2	1	1	0	14	807	0	1	1
79	1	1	1	0	14	807	0	1	0
79	2	1	1	0	14	807	0	1	1
